day,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,avg
1/24/2020,Wyoming,0,0,0,0,0,0,0
1/25/2020,Alabama,0,0,0,0,0,0,0
1/25/2020,Alaska,0,0,0,0,0,0,0
1/25/2020,Arizona,0,0,0,0,0,0,0
1/25/2020,Arkansas,0,0,0,0,0,0,0
1/25/2020,California,7,100,100,28,29,55,59.85714286
1/25/2020,Colorado,0,0,0,0,0,0,0
1/25/2020,Connecticut,0,0,0,0,0,0,0
1/25/2020,Delaware,0,0,0,0,0,0,0
1/25/2020,District of Columbia,0,0,0,0,0,0,0
1/25/2020,Florida,0,0,0,0,0,100,14.28571429
1/25/2020,Georgia,0,0,0,0,0,0,0
1/25/2020,Hawaii,0,0,0,0,0,0,0
1/25/2020,Idaho,0,0,0,0,0,0,0
1/25/2020,Illinois,21,0,0,0,0,0,3
1/25/2020,Indiana,0,0,0,100,0,0,14.28571429
1/25/2020,Iowa,0,0,0,0,0,0,0
1/25/2020,Kansas,0,0,0,0,0,0,0
1/25/2020,Kentucky,0,0,0,0,0,0,0
1/25/2020,Louisiana,0,0,0,0,0,0,0
1/25/2020,Maine,0,0,0,0,0,0,0
1/25/2020,Maryland,46,0,0,90,0,0,19.42857143
1/25/2020,Massachusetts,39,0,0,78,0,0,16.71428571
1/25/2020,Michigan,0,0,0,0,0,0,0
1/25/2020,Minnesota,0,0,0,0,0,0,0
1/25/2020,Mississippi,0,0,0,0,0,0,0
1/25/2020,Missouri,0,0,0,0,0,0,0
1/25/2020,Montana,0,0,0,0,0,0,0
1/25/2020,Nebraska,0,0,0,0,0,0,0
1/25/2020,Nevada,100,0,0,0,0,0,14.28571429
1/25/2020,New Hampshire,0,0,0,0,0,0,0
1/25/2020,New Jersey,0,0,0,0,0,0,0
1/25/2020,New Mexico,0,0,0,0,0,0,0
1/25/2020,New York,14,0,0,0,0,0,2
1/25/2020,North Carolina,0,0,0,56,0,0,8
1/25/2020,North Dakota,0,0,0,0,0,0,0
1/25/2020,Ohio,25,0,0,0,100,0,17.85714286
1/25/2020,Oklahoma,0,0,0,0,0,0,0
1/25/2020,Oregon,0,0,0,0,0,0,0
1/25/2020,Pennsylvania,0,0,0,45,0,0,6.428571429
1/25/2020,Rhode Island,0,0,0,0,0,0,0
1/25/2020,South Carolina,0,0,0,0,0,0,0
1/25/2020,South Dakota,0,0,0,0,0,0,0
1/25/2020,Tennessee,46,0,0,0,0,0,6.571428571
1/25/2020,Texas,0,0,0,40,0,0,5.714285714
1/25/2020,Utah,0,0,0,0,0,0,0
1/25/2020,Vermont,0,0,0,0,0,0,0
1/25/2020,Virginia,0,0,0,65,0,0,9.285714286
1/25/2020,Washington,58,0,0,0,0,0,8.285714286
1/25/2020,West Virginia,0,0,0,0,0,0,0
1/25/2020,Wisconsin,0,0,0,0,0,0,0
1/25/2020,Wyoming,0,0,0,0,0,0,0
1/26/2020,Alabama,0,0,0,0,0,0,0
1/26/2020,Alaska,0,0,0,0,0,0,0
1/26/2020,Arizona,0,0,0,0,0,0,0
1/26/2020,Arkansas,0,0,0,0,0,0,0
1/26/2020,California,23,100,0,0,100,100,60.42857143
1/26/2020,Colorado,66,0,0,0,0,0,9.428571429
1/26/2020,Connecticut,0,0,0,0,0,0,0
1/26/2020,Delaware,0,0,0,0,0,0,0
1/26/2020,District of Columbia,0,0,0,0,0,0,0
1/26/2020,Florida,0,0,0,40,0,0,5.714285714
1/26/2020,Georgia,0,0,0,0,0,0,0
1/26/2020,Hawaii,0,0,0,0,0,0,0
1/26/2020,Idaho,0,0,0,0,0,0,0
1/26/2020,Illinois,0,0,0,65,0,0,9.285714286
1/26/2020,Indiana,0,0,0,0,0,0,0
1/26/2020,Iowa,0,0,0,0,0,0,0
1/26/2020,Kansas,0,0,0,0,0,0,0
1/26/2020,Kentucky,0,0,0,0,0,0,0
1/26/2020,Louisiana,0,0,0,0,0,0,0
1/26/2020,Maine,0,0,0,0,0,0,0
1/26/2020,Maryland,0,0,0,0,0,0,0
1/26/2020,Massachusetts,0,0,0,0,0,0,0
1/26/2020,Michigan,0,0,0,0,0,0,0
1/26/2020,Minnesota,0,0,0,0,0,0,0
1/26/2020,Mississippi,0,0,0,0,0,0,0
1/26/2020,Missouri,68,0,0,0,0,0,9.714285714
1/26/2020,Montana,0,0,0,0,0,0,0
1/26/2020,Nebraska,0,0,0,0,0,0,0
1/26/2020,Nevada,0,0,0,0,0,0,0
1/26/2020,New Hampshire,0,0,0,0,0,0,0
1/26/2020,New Jersey,0,0,0,92,0,0,13.14285714
1/26/2020,New Mexico,0,0,0,0,0,0,0
1/26/2020,New York,0,0,0,0,0,0,0
1/26/2020,North Carolina,0,0,72,86,0,0,22.57142857
1/26/2020,North Dakota,0,0,0,0,0,0,0
1/26/2020,Ohio,0,0,0,0,0,0,0
1/26/2020,Oklahoma,0,0,0,0,0,0,0
1/26/2020,Oregon,0,0,0,0,0,0,0
1/26/2020,Pennsylvania,0,0,0,68,0,0,9.714285714
1/26/2020,Rhode Island,0,0,0,0,0,0,0
1/26/2020,South Carolina,0,0,0,0,0,0,0
1/26/2020,South Dakota,0,0,0,0,0,0,0
1/26/2020,Tennessee,0,0,0,0,0,0,0
1/26/2020,Texas,13,0,0,0,0,0,1.857142857
1/26/2020,Utah,0,0,0,0,0,0,0
1/26/2020,Vermont,0,0,0,0,0,0,0
1/26/2020,Virginia,0,0,0,100,0,0,14.28571429
1/26/2020,Washington,100,0,100,0,0,0,28.57142857
1/26/2020,West Virginia,0,0,0,0,0,0,0
1/26/2020,Wisconsin,71,0,0,0,0,0,10.14285714
1/26/2020,Wyoming,0,0,0,0,0,0,0
1/27/2020,Alabama,73,0,0,0,0,0,10.42857143
1/27/2020,Alaska,0,0,0,0,0,0,0
1/27/2020,Arizona,0,0,0,0,0,0,0
1/27/2020,Arkansas,0,0,0,0,0,0,0
1/27/2020,California,0,54,0,37,33,55,25.57142857
1/27/2020,Colorado,0,0,0,0,0,0,0
1/27/2020,Connecticut,0,0,0,0,0,0,0
1/27/2020,Delaware,0,0,0,0,0,0,0
1/27/2020,District of Columbia,0,0,0,0,0,0,0
1/27/2020,Florida,13,100,42,35,0,0,27.14285714
1/27/2020,Georgia,25,0,0,0,0,0,3.571428571
1/27/2020,Hawaii,0,0,0,0,0,0,0
1/27/2020,Idaho,0,0,0,0,0,0,0
1/27/2020,Illinois,0,0,0,0,100,0,14.28571429
1/27/2020,Indiana,51,0,0,0,0,0,7.285714286
1/27/2020,Iowa,0,0,0,0,0,0,0
1/27/2020,Kansas,0,0,0,0,0,0,0
1/27/2020,Kentucky,0,0,0,0,0,0,0
1/27/2020,Louisiana,0,0,0,0,0,0,0
1/27/2020,Maine,0,0,0,0,0,0,0
1/27/2020,Maryland,0,0,0,0,0,0,0
1/27/2020,Massachusetts,38,0,0,100,0,0,19.71428571
1/27/2020,Michigan,31,0,100,83,0,0,30.57142857
1/27/2020,Minnesota,0,0,0,0,0,0,0
1/27/2020,Mississippi,0,0,0,0,0,0,0
1/27/2020,Missouri,0,0,0,0,0,0,0
1/27/2020,Montana,0,0,0,0,0,0,0
1/27/2020,Nebraska,0,0,0,0,0,0,0
1/27/2020,Nevada,100,0,0,0,0,0,14.28571429
1/27/2020,New Hampshire,0,0,0,0,0,0,0
1/27/2020,New Jersey,0,0,0,81,0,0,11.57142857
1/27/2020,New Mexico,0,0,0,0,0,0,0
1/27/2020,New York,0,0,0,0,0,100,14.28571429
1/27/2020,North Carolina,0,0,0,0,0,0,0
1/27/2020,North Dakota,0,0,0,0,0,0,0
1/27/2020,Ohio,25,0,0,0,0,0,3.571428571
1/27/2020,Oklahoma,0,0,0,0,0,0,0
1/27/2020,Oregon,0,0,0,0,0,0,0
1/27/2020,Pennsylvania,23,0,0,0,0,0,3.285714286
1/27/2020,Rhode Island,0,0,0,0,0,0,0
1/27/2020,South Carolina,0,0,0,0,0,0,0
1/27/2020,South Dakota,0,0,0,0,0,0,0
1/27/2020,Tennessee,47,0,0,0,0,0,6.714285714
1/27/2020,Texas,0,0,0,26,47,0,24.71428571
1/27/2020,Utah,0,0,0,0,0,0,0
1/27/2020,Vermont,0,0,0,0,0,0,0
1/27/2020,Virginia,0,0,0,0,0,0,0
1/27/2020,Washington,39,0,0,0,0,0,5.571428571
1/27/2020,West Virginia,0,0,0,0,0,0,0
1/27/2020,Wisconsin,0,0,0,0,0,0,0
1/27/2020,Wyoming,0,0,0,0,0,0,0
1/28/2020,Alabama,0,0,0,0,0,0,0
1/28/2020,Alaska,0,0,0,0,0,0,0
1/28/2020,Arizona,41,0,0,86,94,0,31.57142857
1/28/2020,Arkansas,0,0,0,0,0,0,0
1/28/2020,California,6,0,0,27,15,71,17
1/28/2020,Colorado,0,0,0,0,0,0,0
1/28/2020,Connecticut,0,0,0,0,0,0,0
1/28/2020,Delaware,0,0,0,0,0,0,0
1/28/2020,District of Columbia,0,0,0,0,0,0,0
1/28/2020,Florida,0,0,0,0,0,0,0
1/28/2020,Georgia,0,0,0,0,54,0,7.714285714
1/28/2020,Hawaii,0,0,0,0,0,0,0
1/28/2020,Idaho,0,0,0,0,0,0,0
1/28/2020,Illinois,0,0,0,0,0,0,0
1/28/2020,Indiana,0,0,0,0,0,0,0
1/28/2020,Iowa,100,0,0,0,0,0,14.28571429
1/28/2020,Kansas,0,0,0,0,0,0,0
1/28/2020,Kentucky,0,0,0,0,0,0,0
1/28/2020,Louisiana,0,0,0,0,0,0,0
1/28/2020,Maine,0,0,0,0,0,0,0
1/28/2020,Maryland,0,0,0,0,0,0,0
1/28/2020,Massachusetts,0,100,0,0,0,0,14.28571429
1/28/2020,Michigan,0,0,0,0,0,0,0
1/28/2020,Minnesota,0,0,0,0,0,0,0
1/28/2020,Mississippi,0,0,0,0,0,0,0
1/28/2020,Missouri,0,0,0,100,0,0,14.28571429
1/28/2020,Montana,0,0,0,0,0,0,0
1/28/2020,Nebraska,0,0,0,0,0,0,0
1/28/2020,Nevada,0,0,0,0,0,0,0
1/28/2020,New Hampshire,0,0,0,0,0,0,0
1/28/2020,New Jersey,0,0,0,0,0,0,0
1/28/2020,New Mexico,0,0,0,0,0,0,0
1/28/2020,New York,12,0,0,25,0,0,5.285714286
1/28/2020,North Carolina,0,0,0,0,0,0,0
1/28/2020,North Dakota,0,0,0,0,0,0,0
1/28/2020,Ohio,0,68,0,0,0,0,9.714285714
1/28/2020,Oklahoma,0,0,0,0,0,0,0
1/28/2020,Oregon,67,0,0,0,0,0,9.571428571
1/28/2020,Pennsylvania,21,0,0,0,0,0,3
1/28/2020,Rhode Island,0,0,0,0,0,0,0
1/28/2020,South Carolina,0,0,0,0,0,0,0
1/28/2020,South Dakota,0,0,0,0,0,0,0
1/28/2020,Tennessee,0,0,0,0,100,0,14.28571429
1/28/2020,Texas,0,0,0,0,21,100,31.57142857
1/28/2020,Utah,0,0,0,0,0,0,0
1/28/2020,Vermont,0,0,0,0,0,0,0
1/28/2020,Virginia,0,0,0,60,0,0,8.571428571
1/28/2020,Washington,0,0,0,0,0,0,0
1/28/2020,West Virginia,0,0,0,0,0,0,0
1/28/2020,Wisconsin,0,0,0,0,0,0,0
1/28/2020,Wyoming,0,0,0,0,0,0,0
1/29/2020,Alabama,0,0,0,0,55,0,7.857142857
1/29/2020,Alaska,0,0,0,0,0,0,0
1/29/2020,Arizona,0,0,0,0,0,0,0
1/29/2020,Arkansas,0,0,0,0,0,0,0
1/29/2020,California,20,0,0,30,7,100,22.42857143
1/29/2020,Colorado,0,0,0,0,0,0,0
1/29/2020,Connecticut,0,0,0,0,0,0,0
1/29/2020,Delaware,0,0,0,0,0,0,0
1/29/2020,District of Columbia,0,0,0,0,0,0,0
1/29/2020,Florida,25,0,0,0,0,0,17.85714286
1/29/2020,Georgia,50,0,0,0,0,0,7.142857143
1/29/2020,Hawaii,0,0,0,0,0,0,0
1/29/2020,Idaho,0,0,0,0,0,0,0
1/29/2020,Illinois,0,0,0,45,19,0,9.142857143
1/29/2020,Indiana,0,0,0,0,0,0,0
1/29/2020,Iowa,0,0,0,0,100,0,14.28571429
1/29/2020,Kansas,0,0,0,0,0,0,0
1/29/2020,Kentucky,0,0,0,0,0,0,0
1/29/2020,Louisiana,0,0,0,0,0,0,0
1/29/2020,Maine,0,0,0,0,0,0,0
1/29/2020,Maryland,0,0,0,100,0,0,14.28571429
1/29/2020,Massachusetts,71,0,0,0,0,0,10.14285714
1/29/2020,Michigan,0,0,0,71,0,0,10.14285714
1/29/2020,Minnesota,100,0,0,0,48,0,21.14285714
1/29/2020,Mississippi,0,0,0,0,0,0,0
1/29/2020,Missouri,0,0,0,0,0,0,0
1/29/2020,Montana,0,0,0,0,0,0,0
1/29/2020,Nebraska,0,0,0,0,0,0,0
1/29/2020,Nevada,0,0,0,0,0,0,0
1/29/2020,New Hampshire,0,0,0,0,0,0,0
1/29/2020,New Jersey,0,0,0,65,0,0,9.285714286
1/29/2020,New Mexico,0,0,0,0,0,0,0
1/29/2020,New York,0,0,0,0,0,0,0
1/29/2020,North Carolina,0,0,0,0,0,0,0
1/29/2020,North Dakota,0,0,0,0,0,0,0
1/29/2020,Ohio,0,0,0,52,0,0,7.428571429
1/29/2020,Oklahoma,0,0,0,0,0,0,0
1/29/2020,Oregon,0,0,0,0,0,0,0
1/29/2020,Pennsylvania,0,0,0,51,0,0,7.285714286
1/29/2020,Rhode Island,0,0,0,0,0,0,0
1/29/2020,South Carolina,0,0,0,0,0,0,0
1/29/2020,South Dakota,0,0,0,0,0,0,0
1/29/2020,Tennessee,0,0,0,0,0,0,0
1/29/2020,Texas,0,0,0,21,0,0,13.71428571
1/29/2020,Utah,0,0,0,0,0,0,0
1/29/2020,Vermont,0,0,0,0,0,0,0
1/29/2020,Virginia,0,0,0,0,0,0,0
1/29/2020,Washington,0,0,0,0,36,0,5.142857143
1/29/2020,West Virginia,0,0,0,0,0,0,0
1/29/2020,Wisconsin,0,0,0,0,0,0,0
1/29/2020,Wyoming,0,0,0,0,0,0,0
